id,book_id,title,describe_title,author,describe_detail,price,price_pure_number,ori_price,ori_price_pure_number,discount,publishing_date,publishing_company,star,comment_num,url,image_url
0,p24003310,Python编程 从入门到实践,Python编程 从入门到实践【图灵程序设计丛书】Python3.5编程入门图书 机器学习 数据处理 网络爬虫热门编程语言 从基本概念到完整项目开发 帮助零基础读者迅速掌握Python编程 附赠源代码文件,[美]埃里克・马瑟斯（Eric Matthes）,上到有编程基础的程序员，下到10岁少年，想入门Python并达到可以开发实际项目的水平，本书是读者*！ 本书是一本全面的从入门到实践的Python编程教程，带领读者快速掌握编程基础知识、编写出能解决实际问题的代码并开发复杂项目。 书中内容分为基础篇和实战篇两部分。基础篇介绍基本的编程概念，如列表、字典、类和循环，并指导读者编写整洁且易于理解的代码。另外还介绍了如何让程序能够与用户交互，以及如何在代码运行前进行测试。实战篇介绍如何利用新学到的知识开发功能丰富的项目：2D游戏《外星人入侵》，数据可视化实战，Web应用程序。,¥61.40,61.40,¥89.00,89.00,6.9, 2016-07-01,  人民邮电出版社,9.0,36907,http://product.dangdang.com/24003310.html,http://img3m0.ddimg.cn/67/4/24003310-1_b_5.jpg
1,p23594870,数学之美(第二版),数学之美(第二版)浪潮之巅 文明之光 硅谷之谜 大学之路 见识作者吴军博士作品 源自谷歌黑板 根植于谷歌方法论 新版增加大数据和机器学习内容 文津图书奖获奖书 央视新闻推荐的学科敲门砖,吴军著,获奖畅销书《数学之美》首版荣获国家图书馆第八届文津图书奖 首版入选广电总局 2014年向全国青少年推荐百种优秀图书书目 ，荣获2012-2013年度全行业优秀畅销书 信息领域大学生必读好书，央视新闻推荐的学科敲门砖 《浪潮之巅》、《文明之光》作者吴军博士新力作，李开复作序推荐，Google黑板报百万点击！ 新版增加了大数据和机器学习等前沿内容，以满足人们对当下技术的学习需求；同时，根据专家和读者的反馈更正了错漏，并更新了部分内容。,¥32.90,32.90,¥49.00,49.00,6.72, 2014-11-01,  人民邮电出版社,9.0,54127,http://product.dangdang.com/23594870.html,images/model/guan/url_none.png
2,p25181888,Photoshop CC从入门到精通PS教程（全彩视频版）重印30次销售12万册,Photoshop CC从入门到精通PS教程（全彩视频版）重印30次销售12万册重印30次畅销12万册 339集PS视频教程 Adobe专家作品 PS抠图 修图 调色 合成 特效 PS平面设计 淘宝美工 照片处理 网页设计 插画 UI 赠配色/构图/商业设计宝典,唯美世界,《中文版Photoshop CC从入门到精通》 获取附赠电子书请关注公众号获取【扫描实物书封底以及前言中的二维码】 本书显著特色 1.配套视频讲解，手把手教您学习 本书配备了大量的同步教学视频，涵盖全书几乎所有实例，如同老师在身边手把手教您，可以让学习更轻松、更高效！ 2.二维码扫一扫，随时随地看视频 章首页、重点、难点、知识点等多处设置了二维码，通过微信扫一扫，可以在随时随地在手机上看视频。（若个别手机不能播放，可下载后在电脑上观看） 3.订制学习内容，短期内快速上手 Photoshop功能强大、命令繁多，全部掌握需要较多时间。如想在短期内学会用PS进行*修图、数码照片处理、网页设计、平面设计等，不必耗时费力学习PS全部功能，只需根据本书的建议学习部分内容即可。 4.内容极为全面，注重学习规律 本书涵盖了Photoshop CC 2017几,¥61.80,61.80,¥99.80,99.80,6.2, 2017-11-01,  水利水电出版社,9.0,6552,http://product.dangdang.com/25181888.html,images/model/guan/url_none.png
3,p20866026,鸟哥的Linux私房菜 基础学习篇(第三版)(Linux领域名人鸟哥带你迈入Linux殿堂),鸟哥的Linux私房菜 基础学习篇(第三版)(Linux领域名人鸟哥带你迈入Linux殿堂)畅销Linux入门书 鸟哥教你Linux从入门到精通 适用Linux系统应用和开发及Linux运维的人员 涵盖linux内核 Linux命令行 嵌入式linux linux shell技巧精粹,鸟哥,台湾知名Linux网站站长鸟哥新作 畅销不衰的Linux经典入门图书 适用于各种常见版本的Linux Linux管理人员必备的参考手册,¥60.70,60.70,¥88.00,88.00,6.9, 2010-07-01,  人民邮电出版社,9.0,51105,http://product.dangdang.com/20866026.html,images/model/guan/url_none.png
4,p23964270,浪潮之巅 第三版 上下册,浪潮之巅 第三版 上下册数学之美 文明之光 大学之路 硅谷之谜 见识作者吴军博士作品 深度剖析IT产业 掌握下一个黄金十年 李开复作序推荐 来自谷歌的方法论 智能时代的行动指南,吴军,《浪潮之巅》首版自出版以来，在业界获得了巨大反响。信息产业发展瞬息万变，在《浪潮之巅》首版上市的五年后， IT 行业也发生了很大的变化，吴军博士继续娓娓道来，与您聊聊这些年里，IT界的这些事。 这不是一本科技产业发展历史集，而是在这个数字时代，一本IT人非读不可，而非IT人也应该拜读的作品。 《浪潮之巅 第三版》是一本介绍互联网及IT行业兴衰变化的书，书中的内容由吴军博士发表在Google黑板报上，历经多次改写和重构。近一百多年来，总有一些公司很幸运地、有意识或无意识地站在技术革命的浪尖之上。在这十几年间，它们代表着科技的浪潮，直到下一波浪潮的来临。从一百年前算起，AT T 公司、IBM 公司、苹果公司、英特尔公司、微软公司、思科公司、雅虎公司和Google公司都先后被幸运地推到了浪尖。虽然，它们来自不同,¥61.40,61.40,¥99.00,99.00,6.21, 2016-05-01,  人民邮电出版社,9.0,26070,http://product.dangdang.com/23964270.html,images/model/guan/url_none.png
5,p23898620,机器学习,机器学习击败AlphaGo的武林秘籍，赢得人机大战的必由之路：人工智能大牛周志华教授巨著，全面揭开机器学习的奥秘,周志华,"http://product.dangdang.com/25089622.html 内容全面；结构合理；叙述清楚；深入浅出。人工智能领域中文的开山之作！ 这是一本面向中文读者的机器学习教科书, 为了使尽可能多的读者通过本书对机器学习有所了解, 作者试图尽可能少地使用数学知识. 然而, 少量的概率、统计、代数、优化、逻辑知识似乎不可避免. 因此, 本书更适合大学三年级以上的理工科本科生和研究生, 以及具有类似背景的对机器学习感兴趣的人士. 为方便读者, 本书附录给出了一些相关数学基础知识简介. 同类好书推荐： 机器智能 （人工智能领域的创新之作，三大主流方法的和谐统一！当今各种人工智能学说的集成创新。） 美国伯克利大学与Google人工智能科学家合作编写，全世界100多个国家1200多所大学使用。A Must Read for AI 图像处理、分析与机器视觉（第3",¥65.90,65.90,¥88.00,88.00,7.49, 2016-01-01,  清华大学出版社,9.0,40463,http://product.dangdang.com/23898620.html,images/model/guan/url_none.png
6,p25111382,深度学习 人工智能算法，机器学习奠基之作，AI圣经,深度学习 人工智能算法，机器学习奠基之作，AI圣经AI圣经 Deep Learning中文版 长期位居美国ya马逊人工智能和机器学习类图书榜首 深度学习领域奠基性的经典畅销书 特斯拉CEO埃隆・马斯克等国内外众多专家推荐,[美]Ian Goodfellow（伊恩・古德费洛）、[加]Yoshua Bengio（约书亚・本吉奥）、[加]Aaron Courville（亚伦・,AI圣经！深度学习领域奠基性的经典畅销书！长期位居美国亚马逊AI和机器学习类图书榜首！所有数据科学家和机器学习从业者的必读图书！特斯拉CEO埃隆 马斯克等国内外众多专家推荐！ 深度学习是机器学习的一个分支，它能够使计算机通过层次概念来学习经验和理解世界。因为计算机能够从经验中获取知识，所以不需要人类来形式化地定义计算机需要的所有知识。层次概念允许计算机通过构造简单的概念来学习复杂的概念，而这些分层的图结构将具有很深的层次。本书会介绍深度学习领域的许多主题。 本书囊括了数学及相关概念的背景知识，包括线性代数、概率论、信息论、数值优化以及机器学习中的相关内容。同时，它还介绍了工业界中实践者用到的深度学习技术，包括深度前馈网络、正则化、优化算法、卷积网络、序列建模和实践方法等，并且调研,¥116.00,116.00,¥168.00,168.00,6.91, 2017-07-01,  人民邮电出版社,8.0,23658,http://product.dangdang.com/25111382.html,images/model/guan/url_none.png
7,p23259731,深入理解Java虚拟机：JVM高级特性与最佳实践（第2版）,深入理解Java虚拟机：JVM高级特性与最佳实践（第2版）超级畅销书全新升级，第1版两年内印刷近10次，Java图书领域公认的经典著作，繁体版台湾发行,周志明,本书第1版两年内印刷近10次，4家网上书店的评论近4?000条，98%以上的评论全部为5星级的好评，是整个Java图书领域公认的经典著作和超级畅销书，繁体版在台湾也十分受欢迎。第2版在第1版的基础上做了很大的改进：根据*的JDK 1.7对全书内容进行了全面的升级和补充；增加了大量处理各种常见JVM问题的技巧和*实践；增加了若干与生产环境相结合的实战案例；对第1版中的错误和不足之处的修正；等等。第2版不仅技术更新、内容更丰富，而且实战性更强。,¥54.50,54.50,¥79.00,79.00,6.9, 2013-06-01,  机械工业出版社,9.0,19207,http://product.dangdang.com/23259731.html,images/model/guan/url_none.png
8,p23958142,C Primer Plus 第6版 中文版 C语言入门经典教程,C Primer Plus 第6版 中文版 C语言入门经典教程畅销30余年的C语言编程入门教程 近百万程序员的C语言编程启蒙教程 技术大牛案头常备的工具书 针对C11标准库更新 蔡学镛 孟岩 高博倾力推荐,[美]史蒂芬・普拉达（Stephen Prata）,经久不衰的C语言畅销经典教程针对C11标准进行全面更新《C Primer Plus（第6版）中文版》是一本经过仔细测试、精心设计的完整C语言教程，它涵盖了C语言编程中的核心内容。《C Primer Plus（第6版）中文版》作为计算机科学的经典著作，讲解了包含结构化代码和自顶向下设计在内的程序设计原则。与以前的版本一样，作者的目标仍旧是为读者提供一本入门型、条理清晰、见解深刻的C语言教程。作者把基础的编程概念与C语言的细节很好地融合在一起，并通过大量短小精悍的示例同时演示一两个概念，通过学以致用的方式鼓励读者掌握新的主题。每章末尾的复习题和编程练习题进一步强化了重要的信息，有助于读者理解和消化那些难以理解的概念。本书采用了友好、易于使用的编排方式，不仅适合打算认真学习C语言编程的学生阅读，也适合那些精通其他编程语言，但希望,¥61.40,61.40,¥89.00,89.00,6.9, 2016-04-01,  人民邮电出版社,9.0,14108,http://product.dangdang.com/23958142.html,images/model/guan/url_none.png
9,p23465230,和秋叶一起学PPT 第3版：又快又好打造说服力幻灯片(别告诉我你懂ppt，买了不后悔的ppt制作教程！读者5颗星强烈推,和秋叶一起学PPT 第3版：又快又好打造说服力幻灯片(别告诉我你懂ppt，买了不后悔的ppt制作教程！读者5颗星强烈推让秋叶PPT带你学办公软件 学PowerPoint幻灯片设计思维炼成记 别告诉我你懂PPT 现代商务办公从新手到高手教程?超值赠200套官方模板 88期内部技术分享等海量资源 获取方式见本书前言,秋叶 PPT,"PPT图书必读，读者5颗星强烈推荐， 颠覆你对PPT的认识，让培训师压力山大。 让你在短时间内制作出提升职场竞争力的PPT，为你开启通往职场达人的大门！ 如果你是小白，仅仅会用一点Word 你应该去网易云课堂，参加""和秋叶一起学PPT""在线课程； 如果你PowerPoint熟练使用，想利用碎片时间不断提升 请关注微信【PPT100】; 如果你不想错过任何职场好资源 请关注微博@秋叶 ； 如果你真正想成为职场达人，用逻辑和视觉化PPT表达搞定工作 请购买《说服力》三本套装！（说服力：让你的PPT会说话 工作型PPT该这样做 教你做出专业又出彩的演示PPT（第2版）） 如果你觉得自己PPT制作水平一般，缺乏足够的制作技巧，希望全面提升 你应该买一本《和秋叶一起学PPT》图书！ 1. 怕又买错书？ 这本书亮点太多，无力吐槽，爱不释手，相见",¥59.40,59.40,¥99.00,99.00,6, 2017-06-01,  人民邮电出版社,9.0,49784,http://product.dangdang.com/23465230.html,images/model/guan/url_none.png
